doesHaveLinks,doesHaveSpammyWords,lengthOfText,numberOfSymbols,numberOfWordsContainingLettersAndNumbers,numberOfWordsContainingOnlyLetters,numberOfWordsContainingOnlyUppercaseLetters,class label
False,False,111,9,0,16,0,ham
False,False,29,6,0,4,0,ham
False,True,155,6,2,21,2,spam
False,False,49,6,0,9,2,ham
False,False,61,2,0,11,1,ham
False,True,148,8,1,23,0,spam
False,False,77,2,0,14,0,ham
False,False,160,6,0,21,0,ham
False,True,158,6,2,19,2,spam
False,True,154,2,0,25,3,spam
False,False,109,6,0,15,0,ham
False,True,136,8,3,16,4,spam
True,True,156,8,2,16,7,spam
False,False,196,4,0,33,1,ham
False,False,35,2,0,7,8,ham
True,True,149,11,0,14,1,spam
False,False,26,6,0,2,0,ham
False,False,81,5,0,15,0,ham
False,False,58,1,0,12,0,ham
False,True,156,8,2,15,2,spam
False,False,41,1,0,7,0,ham
False,False,49,0,0,9,0,ham
False,False,53,7,0,8,1,ham
False,False,88,3,0,16,1,ham
False,False,57,2,0,9,1,ham
False,False,144,7,0,21,1,ham
False,False,30,1,0,4,0,ham
False,False,134,6,0,26,0,ham
False,False,75,7,0,9,0,ham
False,False,64,4,0,8,1,ham
False,False,130,4,0,22,0,ham
False,False,189,7,0,33,0,ham
False,False,29,1,0,5,1,ham
False,False,84,1,0,16,0,ham
False,True,159,2,1,27,4,spam
False,False,123,7,2,23,1,ham
False,False,47,3,0,6,0,ham
False,False,28,0,0,8,2,ham
False,False,27,6,0,2,1,ham
False,False,155,7,0,23,1,ham
False,False,82,3,0,14,1,ham
False,False,142,15,0,27,5,ham
False,True,172,5,0,26,1,spam
False,False,19,1,0,3,4,ham
False,False,72,10,0,9,2,ham
False,False,32,4,0,2,0,ham
False,False,45,2,0,6,0,ham
False,False,31,2,0,3,0,ham
False,False,67,2,0,12,1,ham
False,False,148,7,0,23,4,ham
False,False,58,2,0,10,0,ham
False,False,124,11,0,20,1,ham
False,False,80,1,0,15,1,ham
False,False,289,14,0,42,3,ham
False,True,120,5,0,17,3,spam
False,False,76,6,0,10,0,ham
False,True,161,12,4,13,3,spam
False,False,34,3,0,3,0,ham
False,False,22,0,0,4,0,ham
False,False,40,3,0,5,0,ham
False,False,108,5,0,18,1,ham
False,False,48,2,0,7,0,ham
False,False,25,0,0,6,1,ham
False,False,56,2,0,10,1,ham
False,False,110,2,0,22,0,ham
False,True,153,3,1,23,1,spam
False,False,122,8,0,19,0,ham
False,True,161,10,6,14,4,spam
False,True,78,5,0,11,0,spam
False,False,34,1,0,7,1,ham
False,False,46,9,0,5,0,ham
False,False,29,1,0,4,0,ham
False,False,45,1,0,9,10,ham
False,False,42,6,0,3,0,ham
False,False,20,3,0,4,1,ham
False,False,43,2,0,7,1,ham
False,False,73,2,0,12,0,ham
False,False,50,3,0,9,1,ham
False,False,42,5,0,6,0,ham
False,False,76,4,0,12,0,ham
False,False,22,2,0,2,0,ham
False,False,32,2,0,6,1,ham
False,False,32,0,0,10,0,ham
False,False,36,0,0,9,0,ham
False,False,14,1,0,2,0,ham
False,False,55,5,0,6,1,ham
False,False,121,4,0,21,2,ham
False,False,144,4,0,27,2,ham
False,False,42,1,0,8,0,ham
False,False,41,5,0,4,0,ham
False,False,62,3,0,5,0,ham
False,False,195,5,1,33,1,ham
False,False,141,2,1,24,2,ham
False,True,139,2,3,16,1,spam
False,False,107,3,0,16,2,ham
False,True,124,5,0,17,2,spam
False,False,33,3,0,3,0,ham
False,False,51,1,0,11,0,ham
False,False,696,31,1,107,5,ham
False,False,44,0,0,10,0,ham
False,False,95,2,0,15,0,ham
False,False,43,2,0,8,1,ham
False,False,82,1,0,13,0,ham
False,False,115,6,0,20,2,ham
False,False,30,3,0,3,1,ham
False,False,40,1,0,7,0,ham
False,False,31,2,0,3,0,ham
False,False,96,4,0,19,0,ham
False,True,159,6,4,18,3,spam
False,False,143,15,0,16,0,ham
False,False,156,13,0,23,3,ham
False,True,153,7,2,19,1,spam
False,False,72,4,0,8,0,ham
False,False,86,6,0,11,0,ham
False,True,144,3,0,12,1,spam
False,True,157,6,3,18,4,spam
False,False,53,3,0,7,0,ham
False,True,156,2,0,22,0,spam
False,False,52,1,0,11,1,ham
False,False,40,3,0,5,1,ham
False,False,20,2,0,2,0,ham
False,False,244,9,0,37,2,ham
False,False,22,1,0,4,0,ham
False,False,107,4,0,23,26,ham
False,False,28,5,0,3,0,ham
False,False,9,2,0,0,0,ham
False,False,39,3,0,2,0,ham
False,False,25,1,0,3,0,ham
False,True,126,5,1,20,2,spam
False,True,162,8,2,19,1,spam
False,False,38,4,0,3,1,ham
False,False,34,1,0,7,0,ham
False,False,46,1,0,8,1,ham
False,True,155,4,0,27,2,spam
False,False,86,13,0,15,4,ham
False,False,33,2,0,6,1,ham
False,False,27,2,0,3,0,ham
False,False,156,9,1,19,1,ham
False,False,42,2,0,8,1,ham
False,False,25,0,0,7,0,ham
False,False,48,1,0,9,0,ham
False,True,159,7,1,21,0,spam
False,False,84,3,0,12,0,ham
False,False,33,3,0,4,0,ham
False,False,30,2,0,6,0,ham
False,False,45,3,0,7,0,ham
False,False,59,1,0,12,0,ham
False,False,25,6,0,2,0,ham
False,False,160,6,0,21,0,ham
False,False,384,16,0,64,2,ham
False,False,28,1,0,4,0,ham
False,False,27,4,0,3,0,ham
False,False,157,8,0,25,0,ham
False,True,124,2,0,16,0,spam
False,True,146,3,1,20,1,spam
False,False,115,1,0,23,3,ham
False,False,64,5,0,11,0,ham
False,False,85,5,0,14,0,ham
True,True,152,13,3,15,8,spam
False,True,155,6,0,23,5,spam
False,False,51,1,0,9,1,ham
False,True,157,5,3,20,3,spam
False,False,74,3,0,11,0,ham
False,False,67,2,0,11,1,ham
False,False,59,5,0,7,0,ham
False,False,50,2,0,8,3,ham
False,False,94,12,0,14,0,ham
False,False,33,1,0,5,0,ham
False,False,105,6,0,17,0,ham
False,False,61,7,0,6,0,ham
False,False,65,1,0,13,0,ham
False,False,26,1,0,5,1,ham
False,False,146,14,0,24,0,ham
False,False,66,1,0,15,0,ham
False,False,126,5,0,20,2,ham
False,False,159,3,1,27,1,ham
